epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9657,1.39051,1.5015,1.44166,0.60884,0.65902,0.65369,0.36715,1.42118,0.97033,1.48871,0.00330667,0.00330667,0.07024
2,49.7306,1.29815,0.96177,1.2755,0.6822,0.76595,0.77516,0.41465,1.40446,0.84748,1.41874,0.00657426,0.00657426,0.0401743
3,67.2203,1.31541,0.97227,1.27124,0.70605,0.75046,0.74821,0.39369,1.39401,0.92577,1.41312,0.00977586,0.00977586,0.0100425
4,84.7434,1.33333,0.95081,1.2792,0.66617,0.78809,0.76104,0.41062,1.4092,0.91283,1.43757,0.009703,0.009703,0.009703
5,102.263,1.33796,0.92946,1.28147,0.79184,0.73839,0.78239,0.41308,1.48774,0.84961,1.48798,0.009604,0.009604,0.009604
6,119.923,1.35529,0.919,1.29292,0.68113,0.74113,0.74899,0.39699,1.47841,0.85735,1.48091,0.009505,0.009505,0.009505
7,137.42,1.33032,0.89014,1.29669,0.81599,0.69675,0.81586,0.4143,1.49081,0.89134,1.50437,0.009406,0.009406,0.009406
8,154.919,1.34789,0.91946,1.28375,0.7283,0.80611,0.80364,0.4429,1.43446,0.8014,1.4691,0.009307,0.009307,0.009307
9,172.486,1.30915,0.87448,1.28046,0.69813,0.75961,0.78031,0.42733,1.46242,0.80682,1.48884,0.009208,0.009208,0.009208
10,190.024,1.31567,0.85816,1.27998,0.74329,0.79799,0.79677,0.43574,1.41529,0.7919,1.43364,0.009109,0.009109,0.009109
11,207.536,1.31291,0.86019,1.27448,0.81464,0.69018,0.76495,0.42736,1.40284,0.77705,1.45221,0.00901,0.00901,0.00901
12,224.986,1.32842,0.85178,1.28375,0.84014,0.76372,0.82668,0.44604,1.41596,0.79376,1.44107,0.008911,0.008911,0.008911
13,242.674,1.30469,0.83355,1.26203,0.7392,0.79952,0.79732,0.44711,1.38491,0.76456,1.4171,0.008812,0.008812,0.008812
14,260.251,1.29112,0.83307,1.25261,0.80992,0.69554,0.72401,0.39351,1.46534,0.89686,1.49581,0.008713,0.008713,0.008713
15,277.798,1.28884,0.81974,1.26358,0.8198,0.80162,0.83817,0.45124,1.42109,0.75774,1.45227,0.008614,0.008614,0.008614
16,295.298,1.2719,0.80775,1.25615,0.7787,0.79452,0.78392,0.44868,1.37076,0.74585,1.40639,0.008515,0.008515,0.008515
17,312.782,1.26582,0.78932,1.25295,0.80985,0.78504,0.8372,0.47233,1.3896,0.74056,1.44103,0.008416,0.008416,0.008416
18,330.34,1.26576,0.80903,1.25408,0.76478,0.82323,0.8396,0.45915,1.40683,0.74531,1.41443,0.008317,0.008317,0.008317
19,347.813,1.25563,0.77867,1.24449,0.71419,0.80529,0.81361,0.43965,1.41118,0.72376,1.44674,0.008218,0.008218,0.008218
20,365.262,1.24346,0.76953,1.23771,0.7273,0.79992,0.78557,0.44106,1.41095,0.75035,1.42705,0.008119,0.008119,0.008119
21,382.769,1.23802,0.76178,1.2385,0.7763,0.8079,0.84115,0.45993,1.42842,0.72347,1.47258,0.00802,0.00802,0.00802
22,400.296,1.23213,0.74909,1.22597,0.82561,0.83713,0.87904,0.47473,1.38939,0.72747,1.4287,0.007921,0.007921,0.007921
23,417.942,1.23009,0.75097,1.21336,0.84704,0.827,0.8446,0.47019,1.39517,0.70293,1.43336,0.007822,0.007822,0.007822
24,435.448,1.21776,0.73855,1.21413,0.85376,0.82765,0.87769,0.49894,1.38328,0.72231,1.40555,0.007723,0.007723,0.007723
25,453.059,1.21212,0.73367,1.21579,0.74711,0.75618,0.8018,0.44921,1.38366,0.7389,1.40002,0.007624,0.007624,0.007624
26,470.516,1.18971,0.7176,1.21236,0.72712,0.78948,0.80004,0.4451,1.41259,0.70851,1.43758,0.007525,0.007525,0.007525
27,488.021,1.19994,0.71179,1.20694,0.83551,0.84621,0.89502,0.48034,1.42843,0.71252,1.45901,0.007426,0.007426,0.007426
28,505.522,1.20205,0.71949,1.2076,0.77549,0.84565,0.86091,0.47844,1.40647,0.68547,1.41959,0.007327,0.007327,0.007327
29,522.999,1.19032,0.70441,1.19563,0.85087,0.79021,0.83399,0.47389,1.41172,0.69463,1.43308,0.007228,0.007228,0.007228
30,540.474,1.16835,0.69185,1.18859,0.84558,0.78596,0.8415,0.47574,1.35457,0.68747,1.40008,0.007129,0.007129,0.007129
31,557.898,1.15582,0.67756,1.19681,0.84999,0.82779,0.8701,0.48228,1.40629,0.67371,1.43159,0.00703,0.00703,0.00703
32,575.463,1.16814,0.69304,1.18769,0.79357,0.80381,0.81613,0.46143,1.38789,0.69225,1.40301,0.006931,0.006931,0.006931
33,593.126,1.15765,0.68643,1.18889,0.82429,0.75925,0.8323,0.46339,1.41049,0.70001,1.45885,0.006832,0.006832,0.006832
34,610.658,1.16513,0.6782,1.18876,0.80283,0.77411,0.78755,0.45498,1.39219,0.68303,1.40947,0.006733,0.006733,0.006733
35,628.134,1.154,0.66961,1.18612,0.85493,0.76179,0.83151,0.47215,1.39128,0.67605,1.41111,0.006634,0.006634,0.006634
36,645.575,1.13398,0.66346,1.17841,0.82053,0.7836,0.82619,0.4662,1.40556,0.69381,1.43113,0.006535,0.006535,0.006535
37,663.037,1.14998,0.66719,1.1739,0.75124,0.80658,0.83609,0.46284,1.4284,0.69458,1.45066,0.006436,0.006436,0.006436
38,680.537,1.12189,0.64321,1.16349,0.7868,0.82412,0.82494,0.46481,1.38435,0.68188,1.39929,0.006337,0.006337,0.006337
39,698.039,1.12706,0.64684,1.1608,0.91398,0.75517,0.83245,0.48893,1.3783,0.65928,1.41531,0.006238,0.006238,0.006238
40,715.594,1.10935,0.63289,1.15579,0.7785,0.81511,0.83061,0.48025,1.40529,0.66337,1.47564,0.006139,0.006139,0.006139
41,733.089,1.09783,0.61202,1.15391,0.90155,0.79382,0.87554,0.4984,1.39409,0.66083,1.43486,0.00604,0.00604,0.00604
42,750.702,1.10207,0.62797,1.15815,0.78306,0.79067,0.79493,0.44212,1.42684,0.6935,1.49499,0.005941,0.005941,0.005941
43,768.22,1.09493,0.61866,1.14669,0.77179,0.80088,0.83948,0.48394,1.39643,0.67627,1.44599,0.005842,0.005842,0.005842
44,785.699,1.08962,0.61244,1.1533,0.82206,0.77692,0.84284,0.46762,1.40926,0.69902,1.43424,0.005743,0.005743,0.005743
