epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2055,1.40507,1.77382,1.46131,0.64178,0.65793,0.68637,0.3979,1.23453,1.00888,1.31786,0.00331096,0.00331096,0.0702013
2,46.1902,1.24419,1.03298,1.30105,0.73141,0.72219,0.79149,0.47351,1.25776,0.91722,1.31942,0.00657852,0.00657852,0.0401356
3,68.1549,1.28505,1.04528,1.30517,0.67168,0.74756,0.74909,0.42896,1.36277,1.13546,1.40714,0.00978007,0.00978007,0.0100038
4,90.015,1.31667,1.03881,1.3347,0.80619,0.72412,0.78518,0.46844,1.32405,0.93999,1.37406,0.009703,0.009703,0.009703
5,111.926,1.32153,1.03002,1.34229,0.78004,0.76334,0.80804,0.47437,1.32946,1.01071,1.38899,0.009604,0.009604,0.009604
6,133.888,1.29688,0.98891,1.32737,0.79515,0.75457,0.81283,0.47932,1.34247,0.92837,1.40146,0.009505,0.009505,0.009505
7,155.808,1.27982,0.97096,1.32295,0.7654,0.76513,0.81029,0.48034,1.3315,0.952,1.4264,0.009406,0.009406,0.009406
8,177.708,1.29628,0.9728,1.31889,0.80455,0.80171,0.84736,0.51753,1.29848,0.84628,1.36146,0.009307,0.009307,0.009307
9,199.604,1.28946,0.96938,1.33034,0.82146,0.81154,0.84768,0.49967,1.28914,0.8356,1.36086,0.009208,0.009208,0.009208
10,221.462,1.27593,0.94792,1.3137,0.81301,0.78765,0.84067,0.51319,1.2612,0.80277,1.32588,0.009109,0.009109,0.009109
11,243.36,1.25816,0.91468,1.30012,0.8386,0.81784,0.86388,0.52339,1.26938,0.78164,1.32956,0.00901,0.00901,0.00901
12,265.29,1.25763,0.91279,1.29061,0.78462,0.77442,0.83427,0.50238,1.30959,0.87773,1.38435,0.008911,0.008911,0.008911
13,287.163,1.25755,0.90302,1.3111,0.81007,0.79401,0.85704,0.52381,1.27717,0.79448,1.33641,0.008812,0.008812,0.008812
14,309.048,1.23844,0.88267,1.28494,0.83312,0.82225,0.87862,0.54398,1.24162,0.77478,1.32339,0.008713,0.008713,0.008713
15,331.022,1.24837,0.88255,1.30001,0.83321,0.80558,0.86741,0.52119,1.25922,0.78267,1.33179,0.008614,0.008614,0.008614
