epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5498,1.34016,1.44561,1.24293,0.82823,0.60586,0.66978,0.42011,1.21279,0.86831,1.14495,0.00332572,0.00332572,0.0700685
2,137.78,1.25149,0.98177,1.15416,0.85576,0.63575,0.68958,0.42614,1.21464,0.81977,1.13477,0.00659313,0.00659313,0.0400026
3,204.086,1.29363,1.00372,1.16793,0.83053,0.61915,0.66836,0.39974,1.29598,0.92209,1.18531,0.00979454,0.00979454,0.00987064
4,269.887,1.34211,1.03758,1.19629,0.85175,0.62004,0.67589,0.40993,1.27929,0.93946,1.17235,0.009703,0.009703,0.009703
5,335.629,1.32899,1.0218,1.19308,0.85686,0.62364,0.67881,0.41471,1.27944,0.87434,1.1694,0.009604,0.009604,0.009604
6,401.456,1.31887,0.98834,1.18576,0.74021,0.63541,0.70405,0.43503,1.24548,0.81504,1.14494,0.009505,0.009505,0.009505
7,467.217,1.29554,0.95351,1.16918,0.73735,0.64961,0.71142,0.43983,1.23942,0.79875,1.14637,0.009406,0.009406,0.009406
8,533.081,1.28532,0.94387,1.16703,0.75021,0.64655,0.71664,0.44716,1.22904,0.78853,1.13947,0.009307,0.009307,0.009307
9,598.846,1.27319,0.91877,1.16788,0.74314,0.64883,0.71429,0.44457,1.22672,0.80452,1.13657,0.009208,0.009208,0.009208
10,664.613,1.27029,0.91434,1.15984,0.75096,0.6618,0.72152,0.45326,1.2085,0.74561,1.12459,0.009109,0.009109,0.009109
11,730.459,1.2613,0.89061,1.15241,0.75156,0.66461,0.72803,0.45461,1.21298,0.75605,1.13034,0.00901,0.00901,0.00901
12,796.276,1.24483,0.88068,1.14851,0.885,0.6725,0.72905,0.45987,1.20254,0.75164,1.11964,0.008911,0.008911,0.008911
13,862.091,1.24577,0.87,1.14555,0.7525,0.67818,0.73683,0.46519,1.1936,0.71825,1.1172,0.008812,0.008812,0.008812
14,928.015,1.23393,0.85277,1.13741,0.90452,0.67107,0.73517,0.4644,1.1869,0.72146,1.11335,0.008713,0.008713,0.008713
15,993.87,1.22663,0.83969,1.13429,0.89554,0.67777,0.74119,0.47242,1.17734,0.71056,1.10931,0.008614,0.008614,0.008614
16,1059.59,1.22539,0.84293,1.13811,0.76342,0.68043,0.74032,0.47221,1.182,0.69735,1.11135,0.008515,0.008515,0.008515
17,1125.32,1.20953,0.83073,1.1288,0.76256,0.68728,0.74641,0.47784,1.16346,0.68334,1.10371,0.008416,0.008416,0.008416
18,1191.06,1.21055,0.81941,1.12917,0.76439,0.68558,0.74444,0.47578,1.17754,0.68687,1.10786,0.008317,0.008317,0.008317
19,1256.9,1.19897,0.81049,1.12212,0.76411,0.68328,0.73956,0.47743,1.16362,0.68542,1.10204,0.008218,0.008218,0.008218
20,1322.75,1.19507,0.80767,1.12365,0.76093,0.69127,0.74761,0.48149,1.16621,0.67084,1.10075,0.008119,0.008119,0.008119
21,1388.4,1.19623,0.80297,1.12417,0.7578,0.69913,0.74827,0.48444,1.15268,0.66301,1.09277,0.00802,0.00802,0.00802
22,1454.35,1.18805,0.80429,1.11525,0.76227,0.69628,0.75461,0.48666,1.14902,0.66461,1.093,0.007921,0.007921,0.007921
23,1520,1.18142,0.79044,1.11158,0.90442,0.69852,0.75232,0.48698,1.14905,0.66212,1.08597,0.007822,0.007822,0.007822
24,1585.75,1.18348,0.7867,1.11428,0.89897,0.69638,0.75253,0.48467,1.15695,0.6603,1.09428,0.007723,0.007723,0.007723
