epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.659,1.18274,1.47694,1.27731,0.64401,0.33389,0.37249,0.21787,1.12539,0.95917,1.20388,0.00332922,0.00332922,0.070037
2,737.351,1.14791,1.04176,1.21097,0.64876,0.36644,0.38892,0.23182,1.14497,0.94099,1.18806,0.00659659,0.00659659,0.0399711
3,1094.6,1.22958,1.12471,1.24474,0.57185,0.31852,0.32195,0.1863,1.28538,1.13495,1.27074,0.00979797,0.00979797,0.00983912
4,1454.81,1.2906,1.20024,1.28523,0.54999,0.34182,0.35387,0.20737,1.26318,1.14151,1.27007,0.009703,0.009703,0.009703
5,1810.82,1.27325,1.16336,1.27355,0.71203,0.33192,0.3736,0.21872,1.23221,1.03065,1.2473,0.009604,0.009604,0.009604
6,2171.44,1.24316,1.12236,1.26025,0.68422,0.36107,0.38423,0.22492,1.20602,0.98431,1.2286,0.009505,0.009505,0.009505
7,2532.11,1.22839,1.07441,1.24335,0.6895,0.36197,0.40074,0.23678,1.18166,0.96881,1.2136,0.009406,0.009406,0.009406
8,2893.33,1.21074,1.05812,1.23634,0.5426,0.41682,0.42919,0.25804,1.14792,0.92304,1.1987,0.009307,0.009307,0.009307
9,3253.38,1.19249,1.03388,1.22971,0.62502,0.41092,0.43192,0.25896,1.14682,0.89105,1.18872,0.009208,0.009208,0.009208
10,3616.43,1.1874,1.01408,1.22761,0.65841,0.39366,0.41823,0.25018,1.14163,0.89516,1.18565,0.009109,0.009109,0.009109
11,3972.57,1.16768,0.99198,1.21046,0.61128,0.39716,0.43707,0.26332,1.13139,0.87937,1.17715,0.00901,0.00901,0.00901
12,4333.05,1.16119,0.96765,1.20611,0.53259,0.44328,0.44529,0.2722,1.12444,0.86616,1.17827,0.008911,0.008911,0.008911
13,4694.98,1.14864,0.95402,1.20199,0.61674,0.43753,0.46187,0.27662,1.10573,0.84485,1.16377,0.008812,0.008812,0.008812
14,5058.72,1.13866,0.94278,1.19649,0.5165,0.45851,0.46374,0.28044,1.10189,0.84635,1.15864,0.008713,0.008713,0.008713
15,5420.05,1.13017,0.93169,1.18892,0.58296,0.46856,0.48618,0.29327,1.08993,0.8187,1.15696,0.008614,0.008614,0.008614
