epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.989,1.28852,1.14828,1.04555,0.5922,0.54834,0.57235,0.34089,1.1977,0.73403,0.99525,0.00333026,0.00333026,0.0700277
2,318.7,1.2831,0.81817,1.02522,0.67382,0.62897,0.64419,0.37884,1.19554,0.71313,0.99652,0.00659762,0.00659762,0.0399617
3,470.679,1.35235,0.88823,1.0506,0.69085,0.60443,0.60838,0.3445,1.2726,0.79141,1.03182,0.00979898,0.00979898,0.00982976
4,621.99,1.38903,0.9275,1.07143,0.68229,0.59663,0.6339,0.35412,1.24926,0.7688,1.02775,0.009703,0.009703,0.009703
5,773.379,1.34019,0.86241,1.0602,0.69872,0.6285,0.6561,0.38067,1.21609,0.7447,1.02012,0.009604,0.009604,0.009604
6,924.884,1.314,0.81977,1.04788,0.71977,0.63117,0.65923,0.38365,1.2061,0.71269,1.02002,0.009505,0.009505,0.009505
7,1075.49,1.29148,0.79516,1.04131,0.72273,0.68286,0.69337,0.40797,1.18276,0.66486,1.00855,0.009406,0.009406,0.009406
8,1225.94,1.2763,0.77008,1.03894,0.73066,0.64156,0.68017,0.40955,1.14364,0.6575,0.99626,0.009307,0.009307,0.009307
9,1376.56,1.25032,0.74723,1.02745,0.73843,0.66833,0.69358,0.41224,1.13497,0.62224,0.99277,0.009208,0.009208,0.009208
10,1527,1.24965,0.74313,1.02907,0.72589,0.66069,0.68223,0.40747,1.11974,0.63387,0.98797,0.009109,0.009109,0.009109
11,1677.43,1.22541,0.71557,1.02154,0.73068,0.65814,0.69042,0.42398,1.1275,0.62354,0.98874,0.00901,0.00901,0.00901
12,1828.06,1.21469,0.70356,1.01689,0.75572,0.6968,0.71731,0.44484,1.09574,0.59816,0.98372,0.008911,0.008911,0.008911
13,1978.14,1.19016,0.68275,1.00801,0.71156,0.71899,0.72532,0.43867,1.1088,0.59934,0.98782,0.008812,0.008812,0.008812
14,2127.8,1.1972,0.6782,1.01064,0.76621,0.70039,0.73302,0.45449,1.09609,0.5889,0.9794,0.008713,0.008713,0.008713
15,2278.01,1.17751,0.67115,1.00363,0.77783,0.69991,0.73318,0.45856,1.07361,0.57034,0.97314,0.008614,0.008614,0.008614
16,2427.86,1.16942,0.66494,1.00079,0.73863,0.71617,0.73903,0.45895,1.07812,0.57518,0.97481,0.008515,0.008515,0.008515
17,2577.75,1.16357,0.65343,1.00368,0.78262,0.70063,0.73717,0.46089,1.07456,0.56202,0.97449,0.008416,0.008416,0.008416
18,2728.19,1.15886,0.64325,0.99411,0.80068,0.69294,0.73855,0.45872,1.06612,0.5517,0.97232,0.008317,0.008317,0.008317
19,2879.04,1.15429,0.64073,0.99379,0.73497,0.71756,0.73304,0.45916,1.05694,0.55706,0.96708,0.008218,0.008218,0.008218
20,3030.18,1.14415,0.63343,0.9924,0.73152,0.72499,0.74078,0.46802,1.04673,0.54885,0.96568,0.008119,0.008119,0.008119
