epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7805,1.42837,1.62697,1.44375,0.57588,0.62479,0.66977,0.37825,1.36853,0.98024,1.44121,0.00330667,0.00330667,0.07024
2,34.9118,1.29838,0.95744,1.26637,0.6829,0.72042,0.75267,0.42566,1.32396,0.88843,1.3566,0.00657426,0.00657426,0.0401743
3,52.153,1.29057,0.95076,1.25296,0.7003,0.81028,0.77297,0.42727,1.35225,0.90129,1.40447,0.00977586,0.00977586,0.0100425
4,69.2719,1.30512,0.91365,1.26069,0.74188,0.82366,0.83838,0.44446,1.41723,0.8179,1.45908,0.009703,0.009703,0.009703
5,86.4769,1.29766,0.88504,1.26184,0.73636,0.77535,0.80655,0.43216,1.42924,0.78164,1.45969,0.009604,0.009604,0.009604
6,103.63,1.31335,0.86034,1.2667,0.69193,0.76548,0.76284,0.41117,1.46169,0.82963,1.46181,0.009505,0.009505,0.009505
7,120.768,1.28615,0.81973,1.26227,0.79212,0.77094,0.8259,0.44442,1.41798,0.82991,1.44609,0.009406,0.009406,0.009406
8,138.02,1.29921,0.86705,1.25164,0.73636,0.78348,0.82892,0.46351,1.35944,0.7758,1.41348,0.009307,0.009307,0.009307
9,155.409,1.26448,0.80903,1.25253,0.68218,0.80515,0.7667,0.43274,1.41776,0.77772,1.45504,0.009208,0.009208,0.009208
10,172.588,1.27319,0.80999,1.2491,0.69816,0.81237,0.80712,0.44762,1.41548,0.73689,1.45417,0.009109,0.009109,0.009109
11,189.759,1.26528,0.79977,1.24469,0.72836,0.82,0.78144,0.43521,1.38914,0.74384,1.42975,0.00901,0.00901,0.00901
12,206.952,1.28242,0.8051,1.26469,0.76731,0.75043,0.80251,0.45276,1.45637,0.75494,1.48707,0.008911,0.008911,0.008911
13,224.125,1.25548,0.78251,1.24533,0.81824,0.78523,0.82557,0.45181,1.42483,0.74455,1.46358,0.008812,0.008812,0.008812
