epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0743,1.45094,1.9013,1.5214,0.61912,0.68407,0.6819,0.40593,1.2003,0.97865,1.32821,0.00331096,0.00331096,0.0702013
2,43.4465,1.2371,1.04694,1.31907,0.74689,0.72401,0.76942,0.46112,1.20197,0.93152,1.30839,0.00657852,0.00657852,0.0401356
3,64.8463,1.249,1.0188,1.2998,0.73653,0.76891,0.8045,0.48076,1.25539,0.89374,1.3282,0.00978007,0.00978007,0.0100038
4,86.2472,1.2722,0.9908,1.31349,0.81048,0.7687,0.82517,0.49738,1.30251,0.87011,1.35059,0.009703,0.009703,0.009703
5,107.726,1.28206,0.97788,1.32048,0.77253,0.78802,0.8329,0.48525,1.32196,0.91018,1.36755,0.009604,0.009604,0.009604
6,129.145,1.24678,0.93768,1.30636,0.76987,0.81392,0.82912,0.49551,1.26479,0.87318,1.33766,0.009505,0.009505,0.009505
7,150.597,1.24556,0.9272,1.30029,0.80788,0.81126,0.85662,0.51815,1.27521,0.85123,1.34363,0.009406,0.009406,0.009406
8,172.067,1.25253,0.92313,1.29628,0.80168,0.82196,0.85194,0.51406,1.2742,0.81104,1.34741,0.009307,0.009307,0.009307
9,193.498,1.2437,0.90199,1.29703,0.80708,0.84781,0.86657,0.51954,1.26434,0.82804,1.34856,0.009208,0.009208,0.009208
10,214.992,1.24016,0.88214,1.3021,0.8282,0.81995,0.86093,0.51483,1.25438,0.76725,1.33833,0.009109,0.009109,0.009109
11,236.432,1.22132,0.87149,1.28766,0.81466,0.83285,0.87829,0.53631,1.24281,0.75836,1.31864,0.00901,0.00901,0.00901
12,257.895,1.22973,0.87356,1.28249,0.83169,0.84577,0.89244,0.54086,1.25005,0.74307,1.32941,0.008911,0.008911,0.008911
13,279.373,1.214,0.8509,1.29209,0.83256,0.83907,0.88376,0.54017,1.23615,0.75322,1.31841,0.008812,0.008812,0.008812
14,300.842,1.20013,0.8435,1.26584,0.80193,0.86551,0.88616,0.54722,1.21163,0.7243,1.29985,0.008713,0.008713,0.008713
15,322.372,1.2075,0.84311,1.27655,0.80255,0.8367,0.85408,0.52245,1.23894,0.79736,1.31113,0.008614,0.008614,0.008614
16,343.838,1.18812,0.8185,1.26468,0.83483,0.82823,0.88029,0.54795,1.21949,0.74343,1.31369,0.008515,0.008515,0.008515
17,365.347,1.17565,0.80971,1.26003,0.82994,0.84824,0.87888,0.54182,1.21693,0.72695,1.30976,0.008416,0.008416,0.008416
18,386.789,1.16667,0.80256,1.2532,0.82991,0.85832,0.8817,0.54441,1.23125,0.72651,1.32101,0.008317,0.008317,0.008317
19,408.305,1.17151,0.79404,1.25062,0.8155,0.87124,0.89095,0.55153,1.22863,0.73887,1.31704,0.008218,0.008218,0.008218
20,429.808,1.15655,0.76751,1.24591,0.81508,0.86598,0.89321,0.55449,1.21471,0.69796,1.29781,0.008119,0.008119,0.008119
21,451.318,1.17599,0.77841,1.25034,0.82879,0.86271,0.88385,0.54878,1.20662,0.69779,1.29117,0.00802,0.00802,0.00802
22,472.82,1.14675,0.75387,1.23366,0.84802,0.86222,0.90245,0.56381,1.21008,0.6809,1.30352,0.007921,0.007921,0.007921
23,494.402,1.1461,0.7515,1.23515,0.85073,0.86223,0.89187,0.55837,1.18912,0.69144,1.28062,0.007822,0.007822,0.007822
24,515.853,1.1498,0.75611,1.2404,0.85764,0.85819,0.89449,0.56302,1.19623,0.68303,1.29171,0.007723,0.007723,0.007723
25,537.372,1.12776,0.7554,1.22117,0.86225,0.85896,0.90212,0.56382,1.20904,0.67415,1.28067,0.007624,0.007624,0.007624
26,558.892,1.13078,0.73196,1.22426,0.80558,0.86258,0.87813,0.55093,1.21046,0.70455,1.28661,0.007525,0.007525,0.007525
27,580.405,1.12973,0.73378,1.22297,0.85263,0.84177,0.89044,0.55863,1.2074,0.676,1.29093,0.007426,0.007426,0.007426
28,601.906,1.11507,0.71646,1.20894,0.81672,0.89664,0.892,0.56031,1.1787,0.6653,1.26942,0.007327,0.007327,0.007327
29,623.424,1.11253,0.71008,1.21072,0.82374,0.90236,0.9049,0.56525,1.20375,0.64625,1.28645,0.007228,0.007228,0.007228
30,644.971,1.09919,0.69544,1.20581,0.8306,0.88544,0.90718,0.57471,1.18275,0.6536,1.26194,0.007129,0.007129,0.007129
31,666.49,1.10014,0.71441,1.20204,0.86394,0.87421,0.91085,0.56688,1.2041,0.65403,1.28601,0.00703,0.00703,0.00703
32,687.961,1.08527,0.68515,1.19083,0.85827,0.8748,0.90529,0.58133,1.17311,0.65202,1.26256,0.006931,0.006931,0.006931
33,709.476,1.08948,0.70142,1.20939,0.87142,0.85106,0.90765,0.57106,1.18959,0.65749,1.27493,0.006832,0.006832,0.006832
34,731.006,1.07477,0.67235,1.19106,0.86176,0.89507,0.91002,0.57342,1.18409,0.63707,1.26946,0.006733,0.006733,0.006733
35,752.52,1.07007,0.66897,1.19242,0.86648,0.88491,0.91347,0.5899,1.17049,0.62787,1.27402,0.006634,0.006634,0.006634
36,774.103,1.07305,0.68009,1.18543,0.8371,0.89554,0.90496,0.57931,1.18529,0.62877,1.28157,0.006535,0.006535,0.006535
37,795.62,1.07236,0.67594,1.19642,0.85014,0.8943,0.91289,0.58787,1.16158,0.62361,1.25817,0.006436,0.006436,0.006436
38,817.089,1.0562,0.66063,1.18523,0.84163,0.88523,0.91225,0.57687,1.17657,0.62401,1.26327,0.006337,0.006337,0.006337
39,838.599,1.06075,0.66339,1.18395,0.83473,0.89161,0.8997,0.57346,1.17885,0.63822,1.26813,0.006238,0.006238,0.006238
40,860.09,1.05256,0.65329,1.18032,0.87785,0.87499,0.91747,0.58221,1.16632,0.62436,1.26999,0.006139,0.006139,0.006139
41,881.602,1.05313,0.6524,1.18267,0.85494,0.88975,0.91013,0.5795,1.167,0.61848,1.26351,0.00604,0.00604,0.00604
42,903.098,1.04097,0.64088,1.16738,0.87264,0.87465,0.90741,0.58399,1.17734,0.62756,1.26976,0.005941,0.005941,0.005941
43,924.588,1.04399,0.64419,1.17498,0.87387,0.87086,0.9147,0.57586,1.1754,0.62826,1.26573,0.005842,0.005842,0.005842
44,946.056,1.03103,0.63522,1.16752,0.85883,0.8736,0.90503,0.58129,1.18608,0.62602,1.27686,0.005743,0.005743,0.005743
45,967.527,1.02605,0.6274,1.17024,0.87858,0.88248,0.90885,0.58446,1.17168,0.61157,1.26837,0.005644,0.005644,0.005644
46,988.959,1.02493,0.62544,1.16114,0.88393,0.85666,0.90888,0.58162,1.1706,0.62377,1.26921,0.005545,0.005545,0.005545
47,1010.45,1.03899,0.63703,1.16935,0.87761,0.87134,0.91359,0.5918,1.15916,0.60373,1.26152,0.005446,0.005446,0.005446
48,1031.95,1.01846,0.62112,1.1601,0.87368,0.88018,0.90795,0.57446,1.19145,0.61529,1.28389,0.005347,0.005347,0.005347
49,1053.43,1.00837,0.60929,1.15151,0.86114,0.88363,0.92338,0.58948,1.16254,0.59291,1.27174,0.005248,0.005248,0.005248
50,1074.82,0.993,0.59564,1.1435,0.85445,0.87808,0.91008,0.58793,1.16241,0.60643,1.26862,0.005149,0.005149,0.005149
51,1096.24,1.00056,0.60242,1.15043,0.85748,0.86598,0.91317,0.58892,1.16777,0.597,1.27001,0.00505,0.00505,0.00505
52,1117.65,0.98991,0.60014,1.14765,0.87563,0.89617,0.91943,0.5888,1.16243,0.59184,1.26943,0.004951,0.004951,0.004951
53,1139.02,0.99086,0.5996,1.13917,0.86901,0.88408,0.91254,0.58772,1.16581,0.60649,1.27485,0.004852,0.004852,0.004852
54,1160.4,0.98376,0.59518,1.13763,0.89228,0.88379,0.91745,0.58764,1.1623,0.59532,1.26444,0.004753,0.004753,0.004753
55,1181.76,0.97779,0.58486,1.14232,0.88339,0.88131,0.92445,0.59693,1.16004,0.59126,1.26187,0.004654,0.004654,0.004654
56,1203.17,0.96376,0.57259,1.13128,0.87842,0.89679,0.91829,0.59619,1.15293,0.59284,1.25976,0.004555,0.004555,0.004555
57,1224.55,0.96453,0.5762,1.13819,0.88476,0.88064,0.91999,0.59051,1.16444,0.5887,1.26854,0.004456,0.004456,0.004456
58,1245.9,0.96691,0.58412,1.13369,0.86687,0.90198,0.91957,0.58672,1.16208,0.59319,1.27512,0.004357,0.004357,0.004357
59,1267.32,0.9595,0.56705,1.12317,0.88162,0.87495,0.92481,0.59486,1.15385,0.5855,1.26019,0.004258,0.004258,0.004258
60,1288.68,0.9485,0.56977,1.12429,0.87736,0.88392,0.91802,0.58994,1.16492,0.59139,1.27105,0.004159,0.004159,0.004159
61,1310.05,0.95429,0.55956,1.11755,0.86986,0.90208,0.91692,0.58562,1.16158,0.58422,1.27583,0.00406,0.00406,0.00406
62,1331.44,0.93545,0.55117,1.11139,0.86324,0.90316,0.91589,0.58938,1.15667,0.58598,1.27157,0.003961,0.003961,0.003961
63,1352.85,0.94191,0.55597,1.11271,0.86889,0.88766,0.9173,0.5902,1.15915,0.59185,1.27061,0.003862,0.003862,0.003862
64,1374.21,0.94362,0.55743,1.11739,0.86374,0.90768,0.91849,0.58346,1.15814,0.58235,1.27562,0.003763,0.003763,0.003763
65,1395.58,0.93245,0.55617,1.11202,0.86155,0.90441,0.9154,0.58977,1.15981,0.58115,1.27654,0.003664,0.003664,0.003664
66,1416.93,0.93004,0.54746,1.11323,0.88041,0.88874,0.90909,0.58349,1.17109,0.57912,1.27312,0.003565,0.003565,0.003565
67,1438.32,0.92686,0.54289,1.10843,0.87704,0.8924,0.91897,0.59058,1.1556,0.57025,1.27062,0.003466,0.003466,0.003466
68,1459.69,0.91577,0.54326,1.10375,0.86591,0.89677,0.91356,0.59231,1.15474,0.57102,1.26606,0.003367,0.003367,0.003367
69,1481.02,0.90542,0.52726,1.10403,0.88476,0.90199,0.92678,0.59593,1.16515,0.56885,1.26832,0.003268,0.003268,0.003268
70,1502.4,0.90853,0.53557,1.1006,0.88975,0.88348,0.91773,0.5903,1.15598,0.57158,1.27594,0.003169,0.003169,0.003169
71,1523.75,0.89984,0.53422,1.09891,0.88241,0.89514,0.91637,0.58807,1.14433,0.56641,1.25723,0.00307,0.00307,0.00307
72,1545.11,0.89799,0.52349,1.08873,0.88263,0.89341,0.92081,0.59038,1.15647,0.56142,1.26646,0.002971,0.002971,0.002971
73,1566.49,0.90427,0.53641,1.0938,0.89012,0.86881,0.91758,0.59019,1.15883,0.5759,1.27154,0.002872,0.002872,0.002872
74,1587.84,0.89002,0.51327,1.08595,0.88715,0.87951,0.92047,0.59649,1.14812,0.5729,1.26359,0.002773,0.002773,0.002773
75,1609.24,0.87378,0.51005,1.08344,0.89658,0.87492,0.92006,0.59785,1.14492,0.56257,1.27578,0.002674,0.002674,0.002674
76,1630.7,0.88219,0.51285,1.08449,0.8781,0.90661,0.92028,0.59116,1.15923,0.56876,1.2739,0.002575,0.002575,0.002575
77,1652.08,0.87654,0.51668,1.09425,0.88068,0.89599,0.91811,0.59473,1.14851,0.56194,1.27284,0.002476,0.002476,0.002476
78,1673.42,0.86654,0.50163,1.07666,0.88515,0.90302,0.92713,0.59373,1.15045,0.55701,1.27347,0.002377,0.002377,0.002377
79,1694.85,0.87248,0.50716,1.07731,0.86526,0.89645,0.91739,0.59512,1.14656,0.56371,1.26862,0.002278,0.002278,0.002278
80,1716.21,0.8567,0.49798,1.07404,0.89883,0.88019,0.92638,0.59501,1.15628,0.56494,1.27074,0.002179,0.002179,0.002179
81,1737.6,0.85534,0.49417,1.07085,0.89361,0.89398,0.92004,0.59185,1.15469,0.55969,1.279,0.00208,0.00208,0.00208
82,1758.98,0.85639,0.49617,1.07505,0.89169,0.87332,0.92356,0.59121,1.1545,0.56776,1.2766,0.001981,0.001981,0.001981
83,1780.36,0.85224,0.49477,1.06857,0.86195,0.91341,0.92161,0.59413,1.1608,0.56619,1.28515,0.001882,0.001882,0.001882
84,1801.71,0.84641,0.48418,1.06743,0.89136,0.88892,0.92432,0.59668,1.15552,0.55667,1.27932,0.001783,0.001783,0.001783
85,1823.09,0.84615,0.48247,1.06477,0.87827,0.90215,0.92051,0.59453,1.15881,0.5608,1.28013,0.001684,0.001684,0.001684
86,1844.47,0.83554,0.47584,1.06271,0.87082,0.90527,0.9212,0.59304,1.15768,0.55719,1.28107,0.001585,0.001585,0.001585
87,1865.87,0.82637,0.47259,1.05909,0.883,0.899,0.92113,0.59363,1.15756,0.55821,1.2766,0.001486,0.001486,0.001486
88,1887.27,0.82824,0.47042,1.05611,0.88323,0.89857,0.92254,0.59333,1.15954,0.55241,1.2771,0.001387,0.001387,0.001387
89,1908.62,0.82929,0.47525,1.06096,0.89267,0.87415,0.91976,0.5933,1.15466,0.55092,1.27489,0.001288,0.001288,0.001288
90,1929.98,0.82344,0.47082,1.06476,0.87671,0.91132,0.91909,0.59298,1.15569,0.55208,1.28272,0.001189,0.001189,0.001189
91,1951.69,0.75288,0.39562,1.01961,0.85844,0.90743,0.91406,0.59081,1.16064,0.56254,1.2868,0.00109,0.00109,0.00109
92,1973,0.73607,0.38351,1.00606,0.87234,0.9198,0.9238,0.59494,1.16391,0.54763,1.29188,0.000991,0.000991,0.000991
93,1994.25,0.72768,0.37574,1.00542,0.88501,0.89514,0.92073,0.59099,1.15486,0.54801,1.2849,0.000892,0.000892,0.000892
94,2015.59,0.71972,0.37807,1.00161,0.86284,0.90904,0.91957,0.59249,1.16008,0.5532,1.28902,0.000793,0.000793,0.000793
95,2036.93,0.71245,0.37252,0.99471,0.87607,0.90654,0.92312,0.5982,1.14918,0.54397,1.28413,0.000694,0.000694,0.000694
96,2058.28,0.70725,0.3657,0.98793,0.8818,0.8988,0.92231,0.59592,1.15245,0.54908,1.28748,0.000595,0.000595,0.000595
97,2079.58,0.70067,0.37081,0.99179,0.89212,0.88754,0.92245,0.59684,1.1514,0.54865,1.28816,0.000496,0.000496,0.000496
98,2100.87,0.70375,0.37364,0.9947,0.87533,0.90104,0.92028,0.59768,1.14994,0.54591,1.28638,0.000397,0.000397,0.000397
99,2122.15,0.70022,0.36783,0.99092,0.87701,0.90576,0.9219,0.59508,1.15398,0.54511,1.29028,0.000298,0.000298,0.000298
100,2143.45,0.69589,0.36087,0.98501,0.87157,0.91462,0.92192,0.59836,1.15013,0.5412,1.28994,0.000199,0.000199,0.000199
