epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.056,1.19041,1.53113,1.28431,0.6149,0.34641,0.34685,0.21514,1.08709,0.93637,1.16864,0.00332922,0.00332922,0.070037
2,662.594,1.14145,1.044,1.2043,0.67764,0.35757,0.37804,0.22717,1.13296,0.92646,1.18269,0.00659659,0.00659659,0.0399711
3,988.984,1.19485,1.08007,1.22453,0.60815,0.35086,0.36128,0.20845,1.21788,1.05143,1.24193,0.00979797,0.00979797,0.00983912
4,1319.84,1.24535,1.14185,1.25951,0.60334,0.35152,0.37025,0.22077,1.215,1.01309,1.23731,0.009703,0.009703,0.009703
5,1657.82,1.23295,1.10429,1.25055,0.62255,0.3583,0.39047,0.22949,1.18645,0.97856,1.21993,0.009604,0.009604,0.009604
6,1982.56,1.20772,1.06575,1.23699,0.73203,0.35511,0.39579,0.23719,1.18007,0.95162,1.21598,0.009505,0.009505,0.009505
7,2305.83,1.19894,1.02864,1.22735,0.59218,0.41801,0.43187,0.25808,1.1467,0.91052,1.19146,0.009406,0.009406,0.009406
8,2628.92,1.17936,1.00813,1.21499,0.55548,0.42208,0.4362,0.26145,1.1462,0.88362,1.19031,0.009307,0.009307,0.009307
9,2958.33,1.1716,0.99709,1.21595,0.47409,0.43045,0.42697,0.25931,1.14201,0.87855,1.1901,0.009208,0.009208,0.009208
10,3284.86,1.16314,0.97904,1.21294,0.57046,0.4407,0.45467,0.27576,1.11858,0.8545,1.17261,0.009109,0.009109,0.009109
11,3614.57,1.14138,0.94763,1.1966,0.53651,0.46477,0.46268,0.2798,1.10825,0.83372,1.16571,0.00901,0.00901,0.00901
12,3941.96,1.13492,0.93197,1.19192,0.54008,0.4584,0.46815,0.28136,1.11264,0.84687,1.17186,0.008911,0.008911,0.008911
13,4267.83,1.12421,0.91435,1.18797,0.51999,0.47107,0.47903,0.2891,1.09365,0.81475,1.15966,0.008812,0.008812,0.008812
14,4592.2,1.1196,0.91263,1.18683,0.59489,0.47434,0.48177,0.29246,1.10116,0.82522,1.16166,0.008713,0.008713,0.008713
15,4915.86,1.10925,0.89467,1.17523,0.59041,0.48217,0.4881,0.29695,1.08036,0.7975,1.15163,0.008614,0.008614,0.008614
16,5239.79,1.09788,0.87478,1.16708,0.60795,0.48252,0.49086,0.30194,1.07431,0.78268,1.14465,0.008515,0.008515,0.008515
17,5561.4,1.0915,0.86539,1.16864,0.61476,0.48451,0.50552,0.31483,1.06657,0.77673,1.14251,0.008416,0.008416,0.008416
18,5887.16,1.08416,0.86097,1.16056,0.66283,0.46916,0.50669,0.31407,1.06158,0.76692,1.13623,0.008317,0.008317,0.008317
19,6212.44,1.07584,0.84652,1.1586,0.64603,0.47573,0.5125,0.31844,1.06069,0.75268,1.13441,0.008218,0.008218,0.008218
20,6534.81,1.0756,0.83967,1.15848,0.59968,0.50214,0.50049,0.3151,1.05661,0.75416,1.1319,0.008119,0.008119,0.008119
21,6859.96,1.07147,0.8277,1.15141,0.5854,0.50858,0.51495,0.32223,1.05003,0.75309,1.13193,0.00802,0.00802,0.00802
22,7181.53,1.0642,0.81864,1.15007,0.63439,0.48364,0.52678,0.33181,1.04473,0.738,1.12784,0.007921,0.007921,0.007921
23,7505.32,1.05178,0.80538,1.13726,0.67948,0.50212,0.5336,0.33499,1.03955,0.74007,1.1212,0.007822,0.007822,0.007822
24,7828.76,1.05231,0.80192,1.14039,0.65368,0.48665,0.523,0.32841,1.03828,0.73963,1.11978,0.007723,0.007723,0.007723
25,8153.15,1.04669,0.79504,1.13527,0.61543,0.51181,0.52718,0.33066,1.02914,0.7287,1.11117,0.007624,0.007624,0.007624
26,8478.24,1.04472,0.79434,1.13478,0.62531,0.51966,0.53577,0.3399,1.03282,0.72092,1.12133,0.007525,0.007525,0.007525
27,8804.42,1.03369,0.77781,1.12469,0.64381,0.52456,0.54046,0.33923,1.03366,0.72252,1.11763,0.007426,0.007426,0.007426
28,9126.21,1.03197,0.77694,1.12586,0.62072,0.50685,0.53222,0.33146,1.0312,0.7168,1.11777,0.007327,0.007327,0.007327
29,9450.43,1.02461,0.76879,1.1203,0.67508,0.50442,0.54123,0.34299,1.02371,0.71516,1.10753,0.007228,0.007228,0.007228
30,9774.6,1.02041,0.76321,1.12376,0.61448,0.54463,0.54454,0.34113,1.02621,0.70274,1.11279,0.007129,0.007129,0.007129
31,10097.6,1.01719,0.75836,1.12296,0.63162,0.52144,0.54917,0.34396,1.029,0.70566,1.11178,0.00703,0.00703,0.00703
32,10420.2,1.01215,0.74964,1.11134,0.63133,0.53113,0.55279,0.34669,1.02161,0.69962,1.11146,0.006931,0.006931,0.006931
33,10760.4,1.00876,0.74824,1.11246,0.66854,0.50678,0.55561,0.35079,1.01461,0.69542,1.10224,0.006832,0.006832,0.006832
34,11099.5,1.0052,0.73987,1.11084,0.61395,0.53431,0.5471,0.34345,1.01493,0.6938,1.11023,0.006733,0.006733,0.006733
35,11431.8,1.00327,0.7402,1.11169,0.70082,0.5268,0.55609,0.3465,1.01737,0.68849,1.10494,0.006634,0.006634,0.006634
36,11758.3,0.99855,0.7324,1.10558,0.61146,0.55271,0.56717,0.35015,1.0149,0.68923,1.10344,0.006535,0.006535,0.006535
37,12086.3,0.99177,0.72018,1.1019,0.67565,0.5154,0.55574,0.35175,1.00922,0.68135,1.09954,0.006436,0.006436,0.006436
38,12414.9,0.98959,0.7158,1.10086,0.65954,0.53216,0.57605,0.36242,1.00593,0.6734,1.09616,0.006337,0.006337,0.006337
39,12744.1,0.98813,0.71637,1.10131,0.66939,0.54192,0.56772,0.35528,1.00692,0.67593,1.09844,0.006238,0.006238,0.006238
40,13073.6,0.98947,0.71107,1.09852,0.68698,0.53465,0.56784,0.36199,1.00478,0.67544,1.10002,0.006139,0.006139,0.006139
41,13400.7,0.97365,0.70012,1.09399,0.6555,0.53668,0.55485,0.35463,1.00513,0.66443,1.10034,0.00604,0.00604,0.00604
42,13732.5,0.97128,0.70224,1.0926,0.68686,0.5602,0.57851,0.36808,1.00646,0.67044,1.0953,0.005941,0.005941,0.005941
43,14053.2,0.96789,0.68546,1.08854,0.64447,0.56135,0.56678,0.36315,1.00022,0.66686,1.09488,0.005842,0.005842,0.005842
44,14375.8,0.96206,0.68263,1.08473,0.68178,0.53947,0.57156,0.36504,0.99245,0.65872,1.08858,0.005743,0.005743,0.005743
45,14699.3,0.96288,0.68027,1.08528,0.67831,0.54974,0.56494,0.36275,0.99515,0.6596,1.09192,0.005644,0.005644,0.005644
