epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.207,1.29552,1.18824,1.05832,0.62767,0.55484,0.58548,0.34951,1.16275,0.68951,0.985,0.00333026,0.00333026,0.0700277
2,298.348,1.26452,0.80057,1.02154,0.66285,0.60122,0.61884,0.36193,1.18711,0.70136,0.99002,0.00659762,0.00659762,0.0399617
3,446.09,1.32083,0.84906,1.0413,0.69509,0.61574,0.63933,0.35814,1.24801,0.75285,1.01651,0.00979898,0.00979898,0.00982976
4,593.396,1.35856,0.8846,1.06285,0.66987,0.62638,0.64413,0.36829,1.24474,0.76057,1.0263,0.009703,0.009703,0.009703
5,740.471,1.31155,0.81966,1.05043,0.71471,0.60329,0.63616,0.36904,1.21175,0.719,1.01187,0.009604,0.009604,0.009604
6,887.58,1.29026,0.78604,1.04069,0.68652,0.63353,0.65957,0.39282,1.18663,0.70079,1.00912,0.009505,0.009505,0.009505
7,1034.76,1.26303,0.76258,1.03014,0.72454,0.67305,0.68947,0.41464,1.15033,0.64319,0.99732,0.009406,0.009406,0.009406
8,1182.08,1.25177,0.73996,1.03137,0.67563,0.6621,0.68002,0.40592,1.14141,0.6476,0.99807,0.009307,0.009307,0.009307
9,1329.14,1.23338,0.72316,1.0225,0.75212,0.68082,0.71255,0.43454,1.13236,0.619,0.99454,0.009208,0.009208,0.009208
10,1476.2,1.23085,0.71585,1.02238,0.75369,0.67847,0.69849,0.42105,1.12489,0.61641,0.99271,0.009109,0.009109,0.009109
11,1623.18,1.20979,0.69476,1.01514,0.75635,0.68024,0.7168,0.43762,1.1048,0.60144,0.98463,0.00901,0.00901,0.00901
12,1770.37,1.19598,0.68427,1.01055,0.79123,0.68985,0.72122,0.44213,1.09825,0.59608,0.98417,0.008911,0.008911,0.008911
13,1917.42,1.17376,0.66088,1.00484,0.76151,0.67959,0.71182,0.43967,1.10299,0.57391,0.98254,0.008812,0.008812,0.008812
14,2064.47,1.17736,0.65872,1.00349,0.75039,0.70976,0.7355,0.45514,1.08635,0.56811,0.9761,0.008713,0.008713,0.008713
15,2211.56,1.16291,0.64726,0.99908,0.80381,0.68714,0.73373,0.45692,1.083,0.56955,0.97707,0.008614,0.008614,0.008614
16,2358.93,1.15235,0.64316,0.99509,0.79659,0.71497,0.74804,0.46617,1.07678,0.5553,0.97298,0.008515,0.008515,0.008515
17,2506.11,1.14684,0.63303,0.99781,0.76922,0.72113,0.7482,0.46826,1.06597,0.55431,0.97205,0.008416,0.008416,0.008416
18,2653.15,1.14296,0.62274,0.98815,0.8072,0.69875,0.73772,0.46473,1.06018,0.5463,0.96937,0.008317,0.008317,0.008317
19,2801.68,1.13626,0.61892,0.9881,0.77159,0.72111,0.75212,0.47151,1.05549,0.53997,0.96615,0.008218,0.008218,0.008218
20,2950.61,1.12616,0.61243,0.98682,0.8253,0.70493,0.76425,0.48152,1.05251,0.53336,0.96645,0.008119,0.008119,0.008119
21,3099.27,1.13366,0.61168,0.98881,0.82485,0.7092,0.75484,0.47676,1.04424,0.53445,0.96435,0.00802,0.00802,0.00802
22,3248,1.11821,0.60322,0.98593,0.78807,0.71997,0.74978,0.47783,1.04606,0.52888,0.96449,0.007921,0.007921,0.007921
