epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.495,1.30683,1.50753,1.35503,0.80941,0.60671,0.65874,0.41823,1.189,0.86878,1.26869,0.00332572,0.00332572,0.0700685
2,201.347,1.22806,0.9868,1.25189,0.87186,0.6458,0.70242,0.44292,1.18686,0.77657,1.23889,0.00659313,0.00659313,0.0400026
3,299.906,1.2638,0.98147,1.25262,0.8575,0.62154,0.68569,0.41851,1.24441,0.85576,1.25819,0.00979454,0.00979454,0.00987064
4,398.185,1.3094,1.01131,1.26882,0.73047,0.63901,0.69937,0.42495,1.25004,0.8759,1.26189,0.009703,0.009703,0.009703
5,496.357,1.30542,0.98827,1.27217,0.72475,0.63973,0.69461,0.42649,1.24718,0.8233,1.24637,0.009604,0.009604,0.009604
6,594.567,1.29062,0.95245,1.26158,0.74583,0.65688,0.71606,0.44312,1.21687,0.76873,1.22299,0.009505,0.009505,0.009505
7,692.558,1.26931,0.92225,1.23815,0.75079,0.64515,0.71091,0.44322,1.22681,0.76989,1.23523,0.009406,0.009406,0.009406
8,790.723,1.25856,0.91068,1.23531,0.74843,0.66775,0.72846,0.45697,1.20028,0.75387,1.21808,0.009307,0.009307,0.009307
9,888.763,1.24823,0.88981,1.23781,0.75484,0.67036,0.73105,0.45931,1.19676,0.73985,1.21749,0.009208,0.009208,0.009208
10,986.953,1.2458,0.88825,1.22991,0.76068,0.6699,0.73225,0.46448,1.17726,0.71497,1.20311,0.009109,0.009109,0.009109
11,1084.98,1.23966,0.86166,1.2234,0.90898,0.67786,0.74101,0.46843,1.17921,0.70576,1.19063,0.00901,0.00901,0.00901
12,1183.19,1.2186,0.84978,1.21268,0.90357,0.67839,0.73943,0.47016,1.17306,0.70449,1.19107,0.008911,0.008911,0.008911
13,1281.32,1.2138,0.83791,1.21173,0.89752,0.68443,0.73575,0.4693,1.17134,0.69757,1.19001,0.008812,0.008812,0.008812
14,1379.29,1.21043,0.82462,1.20358,0.90534,0.68785,0.74413,0.47566,1.16173,0.68178,1.18909,0.008713,0.008713,0.008713
15,1477.51,1.20214,0.81617,1.19912,0.90541,0.68351,0.74293,0.47757,1.16231,0.68866,1.18761,0.008614,0.008614,0.008614
16,1575.66,1.19712,0.81116,1.20303,0.77109,0.68983,0.75063,0.48222,1.15172,0.66399,1.18075,0.008515,0.008515,0.008515
17,1673.81,1.18378,0.80422,1.19586,0.75457,0.68969,0.74685,0.47941,1.15366,0.67725,1.17966,0.008416,0.008416,0.008416
18,1771.82,1.19117,0.79447,1.19381,0.76511,0.69627,0.75356,0.48723,1.14868,0.65605,1.17272,0.008317,0.008317,0.008317
19,1869.79,1.17543,0.78017,1.18685,0.76259,0.69681,0.75193,0.48722,1.13841,0.64986,1.17415,0.008218,0.008218,0.008218
20,1967.57,1.16844,0.77784,1.18988,0.76599,0.69826,0.75471,0.48788,1.13722,0.63965,1.16735,0.008119,0.008119,0.008119
21,2065.46,1.18182,0.77866,1.1881,0.75706,0.70042,0.75062,0.48662,1.13326,0.63682,1.15969,0.00802,0.00802,0.00802
22,2163.48,1.17032,0.77659,1.17847,0.91124,0.70694,0.75764,0.49458,1.1298,0.62975,1.16652,0.007921,0.007921,0.007921
23,2261.4,1.16483,0.76613,1.17702,0.91378,0.70181,0.75541,0.49151,1.12855,0.62878,1.15845,0.007822,0.007822,0.007822
24,2359.24,1.16313,0.76246,1.17627,0.77558,0.69839,0.75863,0.49363,1.12503,0.62828,1.15442,0.007723,0.007723,0.007723
25,2457.22,1.15812,0.75602,1.17069,0.77101,0.701,0.75619,0.49616,1.11795,0.61763,1.15368,0.007624,0.007624,0.007624
26,2555.19,1.15102,0.74903,1.177,0.76744,0.70134,0.75858,0.49643,1.11855,0.61603,1.15771,0.007525,0.007525,0.007525
27,2653.13,1.15326,0.74458,1.1712,0.77407,0.70999,0.76194,0.49753,1.12116,0.60869,1.15593,0.007426,0.007426,0.007426
28,2751.17,1.14576,0.73492,1.15888,0.77201,0.70617,0.76309,0.49951,1.11922,0.60893,1.14986,0.007327,0.007327,0.007327
29,2849.24,1.13979,0.72533,1.15625,0.77379,0.71093,0.76181,0.50068,1.11128,0.60129,1.145,0.007228,0.007228,0.007228
30,2947.14,1.14197,0.72614,1.15815,0.91734,0.7086,0.76088,0.5018,1.1105,0.61149,1.15394,0.007129,0.007129,0.007129
31,3044.99,1.13869,0.72415,1.16177,0.91182,0.71573,0.76826,0.50507,1.10768,0.59679,1.15192,0.00703,0.00703,0.00703
32,3142.97,1.13307,0.72097,1.15671,0.91485,0.71192,0.76502,0.50177,1.11414,0.59607,1.15243,0.006931,0.006931,0.006931
33,3240.8,1.13237,0.71723,1.15715,0.91254,0.71736,0.76437,0.50306,1.11422,0.59812,1.14938,0.006832,0.006832,0.006832
34,3338.62,1.12788,0.70839,1.15114,0.91678,0.71277,0.76666,0.5037,1.10984,0.59404,1.14002,0.006733,0.006733,0.006733
35,3436.62,1.1267,0.70485,1.15052,0.91442,0.71317,0.76729,0.50692,1.10525,0.58794,1.1429,0.006634,0.006634,0.006634
36,3534.61,1.11711,0.69685,1.14426,0.77197,0.71457,0.76663,0.50532,1.09882,0.5859,1.14422,0.006535,0.006535,0.006535
37,3632.51,1.11204,0.69516,1.14183,0.76936,0.72105,0.76625,0.50803,1.09935,0.5802,1.1424,0.006436,0.006436,0.006436
38,3730.33,1.12161,0.69852,1.1477,0.9143,0.71974,0.76543,0.50457,1.10224,0.58246,1.14369,0.006337,0.006337,0.006337
39,3828.39,1.10779,0.68597,1.14154,0.91329,0.72325,0.7707,0.51366,1.09247,0.57954,1.14353,0.006238,0.006238,0.006238
